,,,,,,
,,,,,,
Base Aggregate Report,,,,,,
,,,,,,
,,,,,,
,Base Number,Base Name,,Pick Up Date,Number of Trips,Number of Vehicles
,B02462,TIFFANY'S CAR SERVICE INC.,,06/21/2015, 82 , 13 
,B02468,GROUNDLINK HOLDINGS LLC,,06/21/2015, 59 , 19 
,B02470,CRI LIMO INC.,,06/21/2015, 9 , 5 
,B02491,CALL THREES LLC,,06/21/2015, 17 , 3 
,B02517,LOS PAISANOS LUXURY C/S INC.,,06/21/2015, 10 , 6 
,B02532,COZY RIDE LIMOUSINE INC,,06/21/2015, 18 , -   
,B02541,HIBA CAR & LIMO SVC INC.,,06/21/2015, 6 , 6 
,B02542,BAILEY LUXURY & LIMOUSINE CORP.,,06/21/2015, 1 , 1 
,B02555,LTM GLOBAL CAR SERVICE,,06/21/2015, 12 , -   
,B02564,LAGUARDIA LUXURY CAR & LIMO,,06/21/2015, 1 , 1 
,B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,06/21/2015, 69 , 42 
,B02590,LUXOR LIMO INC,,06/21/2015, 57 , -   
,B02611,SS LIMOUSINE SERVICE INC,,06/21/2015, 11 , 4 
,B02631,"CONFIDENTIAL HOLDINGS, LLC",,06/21/2015, 4 , 3 
,B02633,USHLS CORP,,06/21/2015, 2 , 2 
,B02637,ROOSEVELT CAR & LIMO INC.,,06/21/2015, 8 , 8 
,B02653,NEW COLLEGE CAR SVCE INC,,06/21/2015, 795 , 85 
,B02661,MIC-LOU CAR SERVICES_LLC,,06/21/2015, 57 , -   
,B02666,"D.L.C. LIMOUSINE SERVICE, INC.",,06/21/2015, 3 , 3 
,B02675,FRIELECH CAR & LIMO SERVICE INC,,06/21/2015, 38 , 6 
,B02681,DIRECT CAR & LIMO SERVICE INC.,,06/21/2015, 12 , 5 
,B02689,OCS LIMO CORP.,,06/21/2015, 2 , 1 
,B02694,CITY LIMOUSINE TRANSPORTATION INC.,,06/21/2015, 10 , 9 
,B02711,204 CAR & LIMO INC,,06/21/2015, 4 , 2 
,B02715,GROUNDANYWHERE LLC,,06/21/2015, 247 , 78 
,B02716,"GEMINI GLOBAL TRANSPORTATION,LLC.",,06/21/2015, 221 , 1 
,B02723,CHARLIE BLACK CAR INC,,06/21/2015, 4 , -   
,B02751,RELIANCE GROUP INC,,06/21/2015, 2 , 2 
,B02808,INVASORA EXPRESS CAR SERVICE CORP.,,06/21/2015, 20 , 4 
,B02821,E5 TRANSPORTATION SOLUTIONS INC.,,06/21/2015, 26 , 3 
,B00008,T-D MAINTENANCE CORP,,06/22/2015, 206 , 16 
,B00009,T-D MAINTENANCE,,06/22/2015, 404 , 16 
,B00013,LOVE CORP CAR INC,,06/22/2015, 352 , 103 
,B00014,NY ONE CORP CAR INC,,06/22/2015, 546 , 150 
,B00030,TREMONT DISPATCHING CORP,,06/22/2015, 138 , 13 
,B00037,TRANSP UNLIMITED C/S,,06/22/2015, 395 , 49 
,B00083,PAGE-A-RIDE INC,,06/22/2015, 2 , 1 
,B00095,LIBERTY CAR SERVICE INC.,,06/22/2015, 645 , 66 
,B00170,EMUNAH CAR SERVICE INC,,06/22/2015, 50 , 9 
,B00202,"EXCELSIOR CAR & LIMO, INC.",,06/22/2015, 72 , 17 
,B00208,ERNEST SCHWARZ INC,,06/22/2015, 6 , 3 
,B00210,QUEENS DISPATCH SVC INC.,,06/22/2015, 62 , 18 
,B00221,PROFESSIONAL CAR SERVICE INC,,06/22/2015, 543 , 84 
,B00227,"PARK WEST EXEC. SERVICES, INC.",,06/22/2015, 468 , 158 
,B00235,"ARISTACAR & LIMOUSINE, LTD.",,06/22/2015, 30 , 16 
,B00236,LAST RADIO GROUP CORP.,,06/22/2015, 36 , 16 
,B00248,YELLOWSTONE TRANSPORTATION INC.,,06/22/2015," 1,038 ", 119 
,B00254,XYZ TWO WAY RADIO,,06/22/2015, 947 , 257 
,B00277,ALL CITY CORP TRANS INC,,06/22/2015, 138 , 39 
,B00281,"VEE CEE LIMOUSINE SERVICE, INC",,06/22/2015, 123 , 10 
,B00296,PRIME TIME TRANS. INC,,06/22/2015, 69 , 35 
,B00345,MARTIN'S BELLE HARBOR CAR SERVICE,,06/22/2015, 11 , 3 
,B00381,BELL RADIO INC,,06/22/2015, 366 , 108 
,B00411,FONE-A-CAR INC,,06/22/2015, 185 , 51 
,B00412,NYC 2 WAY INTERNATIONAL LTD,,06/22/2015, 356 , 83 
,B00475,RIDGE TRANSPORTATION CORP.,,06/22/2015, 126 , 9 
,B00477,INTA-BORO ACRES INC,,06/22/2015, 469 , 144 
,B00552,HINO-MARU ENTERPRISES INC.,,06/22/2015, 44 , 35 
,B00608,SUMMIT CORP CAR INC,,06/22/2015, 128 , 38 
,B00623,MANHATTAN INT'L LIMO NETWORK LLC,,06/22/2015, 11 , 6 
,B00706,"VIC & BAY CAR SERVICE, INC",,06/22/2015, 383 , 19 
,B00789,VITAL TRANSPORTATION INC.,,06/22/2015, 748 , 195 
,B00837,CAREY LIMO N Y INC,,06/22/2015, 561 , 190 
,b00881,CROSSBAY CAR SERVICE INC.,,06/22/2015, 31 , 18 
,B00888,ACE C/L SVCE INC,,06/22/2015, 119 , 39 
,B00889,MEXICANA CAR SERVICE INC.,,06/22/2015, 641 , 77 
,b00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,06/22/2015, 45 , 8 
,b00941,PERSONAL TOUCH C/S,,06/22/2015, 60 , -   
,B00948,510 CAR SERVICE CORP,,06/22/2015, 584 , 57 
,b00991,P F MANAGEMENT INC,,06/22/2015, 65 , 19 
,b01009,UNITED LIMO C/M SVC CORP,,06/22/2015, 55 , 8 
,B01016,810 CAR SVCE CORP,,06/22/2015, 915 , 77 
,b01039,NYC WHEELS CAR SERVICE INC.,,06/22/2015, 10 , 10 
,b01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,,06/22/2015, 164 , 9 
,b01129,GTWY INC,,06/22/2015, 277 , 20 
,B01148,EVELYN CAR SERVICE INC,,06/22/2015, 262 , 43 
,B01197,"TEL-A-CAR OF NEW YORK, LLC",,06/22/2015, 261 , 81 
,B01269,DIVISION CAR & LIMO INC.,,06/22/2015, 41 , 7 
,B01292,SHEPREID CAR SERVICE AND LIMOUSINE CORP.,,06/22/2015, 55 , 6 
,B01306,"R N D TRANSPORTATION, INC.",,06/22/2015, 40 , 11 
,B01308,LIL'D DISPATCH INC.,,06/22/2015, 102 , 24 
,B01313,JOY CAR SERVICES INC.,,06/22/2015, 20 , 17 
,B01318,LOWER EAST SIDE C/S CORP,,06/22/2015, 791 , 86 
,B01340,UNICAR COMPANY INC,,06/22/2015, 992 , 128 
,B01343,ALL PEOPLE CAR SERVICE INC.,,06/22/2015, 216 , -   
,B01346,ARECIBO C/S INC,,06/22/2015, 67 , 8 
,B01351,HADERECH CAR SERVICE INC,,06/22/2015, 20 , 5 
,B01355,NEW HARLEM C/S INC,,06/22/2015, 462 , 45 
,B01367,"ROYAL DISPATCH SERVICES, INC.",,06/22/2015, 257 , 91 
,B01379,J.J.S. TRANSPORTATION CO. INC.,,06/22/2015, 61 , 4 
,B01391,ROSE 'N' DALE C/S INC,,06/22/2015, 127 , 11 
,B01398,ALEX EXP C/L INC,,06/22/2015, 1 , -   
,B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,06/22/2015, 285 , -   
,B01432,TOVAR TRANSPORTATION INC,,06/22/2015, 322 , 26 
,B01445,J T TRANS CO INC,,06/22/2015, 160 , 51 
,B01475,"MIDWOOD VS, INC",,06/22/2015, 1 , -   
,B01478,"UNIWORLD BROTHERS ENTERPRISES, INC.",,06/22/2015, 108 , 13 
,B01509,"BRUNWISH ENTERPRISES,LTD.",,06/22/2015, 872 , 74 
,B01522,"STM ENTERPRISES,INC",,06/22/2015, 77 , 14 
,B01559,MUNKACS CAR SVC LTD,,06/22/2015, 409 , 23 
,B01606,LA MEXICANA EXPRESS INC.,,06/22/2015," 1,479 ", 116 
,B01608,JERUSALEM CAR COM.INC.,,06/22/2015, 20 , 7 
,B01623,JAMAICA EXPRESS CAR SERVICE INC.,,06/22/2015, 63 , 10 
,B01625,GLOBE CAR SERVICE INC,,06/22/2015, 111 , 10 
,B01626,LA NUEVA QUISQUEYA C/S INC,,06/22/2015," 1,342 ", 117 
,B01635,HAR-SINAY CAR & LIMO SVC INC,,06/22/2015, 50 , 8 
,B01672,NEW DAYNIGHT CAR SVCE,,06/22/2015, 41 , 23 
,B01721,W.K. CAR & LIMO SERVICE INC,,06/22/2015, 444 , 58 
,B01726,SUPER CLASS RADIO DISP INC,,06/22/2015, 868 , 150 
,B01727,"CHAUFFEUR SERVICES, INC.",,06/22/2015, 3 , 2 
,B01730,LUCKY EXPRESS CORPORATION,,06/22/2015, 5 , 5 
,B01779,APEX CAR & LIMO SVCE INC,,06/22/2015, 36 , 16 
,B01818,"TA-TA TRANSPORTATION, INC.",,06/22/2015, 3 , 3 
,B01849,JOE PAL LIMOUSINE LTD,,06/22/2015, 5 , 4 
,B01875,ON LINE LIMOUSINE LLC,,06/22/2015, 180 , 46 
,B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,06/22/2015, 2 , 1 
,B01877,U.S.A. LIMO. INC.,,06/22/2015, 303 , 112 
,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,06/22/2015, 644 , 85 
,B01912,"CAR 24 TRANSPORTATION, INC",,06/22/2015, 16 , -   
,B01923,"AVID INTERNATIONAL, INC.",,06/22/2015, 43 , 13 
,B01928,DISCOVER LIMO INC,,06/22/2015, 1 , 1 
,B01957,"ANIMO, INC",,06/22/2015, 5 , 2 
,B01970,GRAFE STREET SERVICE CORP.,,06/22/2015, 4 , 3 
,B01979,DREAMLAND CAR & LIMO.SVC INC.,,06/22/2015, 1 , 1 
,B01980,"READY TO ROLL TRANSPORTATION, INC.",,06/22/2015, 31 , 17 
,B01984,NY 88 EXPRESS CORP.,,06/22/2015, 764 , 119 
,B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,,06/22/2015, 66 , 14 
,B01998,FIRST CORPORATE SEDANS INC.,,06/22/2015, 448 , 205 
,B02003,"AVALON CORPORATE CAR,INC.",,06/22/2015, 170 , 69 
,B02021,EASYRIDE CAR SERVICE INC.,,06/22/2015, 51 , 6 
,B02054,REGAL CARRIAGE LUX. CAR & LIMO. SVC INC.,,06/22/2015, 17 , 8 
,B02073,"STARGATE LIMOUSINE, INC.",,06/22/2015, 7 , 6 
,B02096,"CET GROUP, INC",,06/22/2015, 4 , 3 
,B02099,SUNNY'S LIMOUSINE SERVICE INC,,06/22/2015, 184 , 66 
,B02106,"PERFECT LIMO SERVICE, INC.",,06/22/2015, 5 , -   
,B02110,"OPTIMUM CAR & LIMO, INC.",,06/22/2015, 69 , 6 
,B02133,"TWR CAR & LIMO, INC.",,06/22/2015, 93 , 31 
,B02138,"GUADALUPANA CAR LIMO, INC",,06/22/2015, 283 , 21 
,B02147,"MITA LIMOUSINE, INC.",,06/22/2015, 21 , 9 
,B02152,"KYOEI LIMOUSINE, INC.",,06/22/2015, 15 , -   
,B02155,ABA LUXURY CAR INC.,,06/22/2015, 7 , 5 
,B02157,REAGAN CONVEYANCE  CORP.,,06/22/2015, 153 , 92 
,B02160,"12TH STREET LUXURY CARS, INC.",,06/22/2015, 20 , 16 
,B02167,MADISON LIMOUSINE INC,,06/22/2015, 2 , -   
,B02175,MURRAY'S LIMOUSINE SERVICE INC.,,06/22/2015, 6 , 6 
,B02180,PEGASUS TRANSPORT SERVICE INC.,,06/22/2015, 37 , 19 
,B02182,"FINEST CAR SERVICE, LLC",,06/22/2015, 5 , 3 
,B02191,US LIMO SYSTEM INC,,06/22/2015, 36 , 16 
,B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",,06/22/2015, 1 , 1 
,B02217,PCS LIMOUSINE INC.,,06/22/2015, 33 , 11 
,B02240,NEW APPLE TRANS. INC.,,06/22/2015, 20 , 12 
,B02241,"MARU & KITANO, INC.",,06/22/2015, 48 , -   
,B02252,ASIANA LIMOUSINE INC.,,06/22/2015, 3 , 2 
,B02265,"COUNTY CAR SERVICE, INC.",,06/22/2015, 28 , 3 
,B02285,"VALERA GLOBAL, INC.",,06/22/2015, 215 , 85 
,B02287,"ROAD NEW YORK ENTERPRISES, INC.",,06/22/2015, 6 , 3 
,b02301,DOUBLE A CAR SERVICE INC.,,06/22/2015, 425 , 27 
,B02306,ACCUELIMO LUXURY LLC,,06/22/2015, 115 , 23 
,B02308,NORWOOD CAR & LIMO INC.,,06/22/2015, 65 , 16 
,B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",,06/22/2015, 25 , -   
,B02389,"EMBARQUE N.Y., INC.",,06/22/2015, 59 , 17 
,B02397,CHICO EXPRESS CORP. 2,,06/22/2015, 194 , 15 
,B02416,"NEW STORM CAR SERVICE, INC.",,06/22/2015, 40 , 5 
,B02440,MLL LIMOUSINE SERVICES INC.,,06/22/2015, 74 , -   
,B02447,"NEW HAMPTON CAR & LIMO, INC.",,06/22/2015, 1 , 1 
,B02462,TIFFANY'S CAR SERVICE INC.,,06/22/2015, 69 , 14 
,B02468,GROUNDLINK HOLDINGS LLC,,06/22/2015, 131 , 36 
,B02470,CRI LIMO INC.,,06/22/2015, 25 , 9 
,B02491,CALL THREES LLC,,06/22/2015, 28 , 5 
,B02517,LOS PAISANOS LUXURY C/S INC.,,06/22/2015, 10 , 6 
,B02532,COZY RIDE LIMOUSINE INC,,06/22/2015, 29 , -   
,B02542,BAILEY LUXURY & LIMOUSINE CORP.,,06/22/2015, 2 , 1 
,B02555,LTM GLOBAL CAR SERVICE,,06/22/2015, 18 , -   
,B02564,LAGUARDIA LUXURY CAR & LIMO,,06/22/2015, 3 , 2 
,B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,06/22/2015, 86 , 48 
,B02590,LUXOR LIMO INC,,06/22/2015, 72 , -   
,B02611,SS LIMOUSINE SERVICE INC,,06/22/2015, 27 , 9 
,B02631,"CONFIDENTIAL HOLDINGS, LLC",,06/22/2015, 7 , 5 
,B02633,USHLS CORP,,06/22/2015, 9 , 5 
,B02637,ROOSEVELT CAR & LIMO INC.,,06/22/2015, 10 , 9 
,B02653,NEW COLLEGE CAR SVCE INC,,06/22/2015, 812 , 99 
,B02661,MIC-LOU CAR SERVICES_LLC,,06/22/2015, 40 , -   
,B02666,"D.L.C. LIMOUSINE SERVICE, INC.",,06/22/2015, 8 , 7 
,B02674,ELAL CAR LIMO SERVICE LLC,,06/22/2015, 65 , 7 
,B02675,FRIELECH CAR & LIMO SERVICE INC,,06/22/2015, 50 , 7 
,B02681,DIRECT CAR & LIMO SERVICE INC.,,06/22/2015, 22 , 6 
,B02689,OCS LIMO CORP.,,06/22/2015, 12 , 2 
,B02694,CITY LIMOUSINE TRANSPORTATION INC.,,06/22/2015, 7 , 6 
,B02715,GROUNDANYWHERE LLC,,06/22/2015, 434 , 131 
,B02716,"GEMINI GLOBAL TRANSPORTATION,LLC.",,06/22/2015, 187 , 1 
,B02723,CHARLIE BLACK CAR INC,,06/22/2015, 56 , -   
,B02751,RELIANCE GROUP INC,,06/22/2015, 5 , 3 
,b02754,TIGER CAR SERVICE INC.,,06/22/2015, 6 , 1 
,B02808,INVASORA EXPRESS CAR SERVICE CORP.,,06/22/2015, 12 , 4 
,B02821,E5 TRANSPORTATION SOLUTIONS INC.,,06/22/2015, 70 , 6 
,B00008,T-D MAINTENANCE CORP,,06/23/2015, 225 , 17 
,B00009,T-D MAINTENANCE,,06/23/2015, 496 , 18 
,B00013,LOVE CORP CAR INC,,06/23/2015, 460 , 114 
,B00014,NY ONE CORP CAR INC,,06/23/2015, 631 , 156 
,B00030,TREMONT DISPATCHING CORP,,06/23/2015, 130 , 13 
,B00037,TRANSP UNLIMITED C/S,,06/23/2015, 489 , 50 
,B00083,PAGE-A-RIDE INC,,06/23/2015, 5 , 2 
,B00095,LIBERTY CAR SERVICE INC.,,06/23/2015, 559 , 67 
,B00170,EMUNAH CAR SERVICE INC,,06/23/2015, 48 , 9 
,B00202,"EXCELSIOR CAR & LIMO, INC.",,06/23/2015, 57 , 16 
,B00208,ERNEST SCHWARZ INC,,06/23/2015, 7 , 3 
,B00210,QUEENS DISPATCH SVC INC.,,06/23/2015, 54 , 19 
,B00221,PROFESSIONAL CAR SERVICE INC,,06/23/2015, 531 , 84 
,B00227,"PARK WEST EXEC. SERVICES, INC.",,06/23/2015, 510 , 170 
,B00235,"ARISTACAR & LIMOUSINE, LTD.",,06/23/2015, 42 , 17 
,B00236,LAST RADIO GROUP CORP.,,06/23/2015, 47 , 16 
,B00248,YELLOWSTONE TRANSPORTATION INC.,,06/23/2015," 1,003 ", 117 
,B00254,XYZ TWO WAY RADIO,,06/23/2015," 1,219 ", 270 
,B00277,ALL CITY CORP TRANS INC,,06/23/2015, 148 , 37 
,B00281,"VEE CEE LIMOUSINE SERVICE, INC",,06/23/2015, 102 , 9 
,B00296,PRIME TIME TRANS. INC,,06/23/2015, 93 , 38 
,B00345,MARTIN'S BELLE HARBOR CAR SERVICE,,06/23/2015, 11 , 3 
,B00381,BELL RADIO INC,,06/23/2015, 432 , 109 
,B00411,FONE-A-CAR INC,,06/23/2015, 220 , 55 
,B00412,NYC 2 WAY INTERNATIONAL LTD,,06/23/2015, 399 , 89 
,B00475,RIDGE TRANSPORTATION CORP.,,06/23/2015, 122 , 10 
,B00477,INTA-BORO ACRES INC,,06/23/2015, 668 , 157 
,B00552,HINO-MARU ENTERPRISES INC.,,06/23/2015, 45 , 29 
,B00608,SUMMIT CORP CAR INC,,06/23/2015, 177 , 38 
,B00619,LINCOLN LIMO SVCE INC,,06/23/2015, 1 , 1 
,B00623,MANHATTAN INT'L LIMO NETWORK LLC,,06/23/2015, 18 , 6 
,B00706,"VIC & BAY CAR SERVICE, INC",,06/23/2015, 400 , 20 
,B00789,VITAL TRANSPORTATION INC.,,06/23/2015, 783 , 207 
,B00837,CAREY LIMO N Y INC,,06/23/2015, 552 , 190 
,b00881,CROSSBAY CAR SERVICE INC.,,06/23/2015, 27 , 19 
,B00888,ACE C/L SVCE INC,,06/23/2015, 148 , 38 
,B00889,MEXICANA CAR SERVICE INC.,,06/23/2015, 640 , 75 
,b00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,06/23/2015, 72 , 12 
,b00941,PERSONAL TOUCH C/S,,06/23/2015, 52 , -   
,B00948,510 CAR SERVICE CORP,,06/23/2015, 580 , 56 
,b00991,P F MANAGEMENT INC,,06/23/2015, 54 , 22 
,b01009,UNITED LIMO C/M SVC CORP,,06/23/2015, 62 , 7 
,B01016,810 CAR SVCE CORP,,06/23/2015, 821 , 69 
,b01039,NYC WHEELS CAR SERVICE INC.,,06/23/2015, 10 , 10 
,b01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,,06/23/2015, 140 , 9 
,b01129,GTWY INC,,06/23/2015, 267 , 20 
,B01148,EVELYN CAR SERVICE INC,,06/23/2015, 347 , 48 
,B01197,"TEL-A-CAR OF NEW YORK, LLC",,06/23/2015, 282 , 79 
,B01269,DIVISION CAR & LIMO INC.,,06/23/2015, 41 , 7 
,B01292,SHEPREID CAR SERVICE AND LIMOUSINE CORP.,,06/23/2015, 63 , 6 
,B01306,"R N D TRANSPORTATION, INC.",,06/23/2015, 38 , 11 
,B01308,LIL'D DISPATCH INC.,,06/23/2015, 45 , 22 
,B01313,JOY CAR SERVICES INC.,,06/23/2015, 21 , 16 
,B01318,LOWER EAST SIDE C/S CORP,,06/23/2015, 862 , 92 
,B01340,UNICAR COMPANY INC,,06/23/2015, 932 , 128 
,B01343,ALL PEOPLE CAR SERVICE INC.,,06/23/2015, 184 , -   
,B01346,ARECIBO C/S INC,,06/23/2015, 72 , 9 
,B01351,HADERECH CAR SERVICE INC,,06/23/2015, 17 , 5 
,B01355,NEW HARLEM C/S INC,,06/23/2015, 480 , 46 
,B01367,"ROYAL DISPATCH SERVICES, INC.",,06/23/2015, 312 , 93 
,B01379,J.J.S. TRANSPORTATION CO. INC.,,06/23/2015, 94 , 6 
,B01391,ROSE 'N' DALE C/S INC,,06/23/2015, 110 , 12 
,B01398,ALEX EXP C/L INC,,06/23/2015, 1 , -   
,B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,06/23/2015, 309 , -   
,B01432,TOVAR TRANSPORTATION INC,,06/23/2015, 377 , 26 
,B01445,J T TRANS CO INC,,06/23/2015, 198 , 54 
,B01475,"MIDWOOD VS, INC",,06/23/2015, 1 , -   
,B01478,"UNIWORLD BROTHERS ENTERPRISES, INC.",,06/23/2015, 91 , 12 
,B01509,"BRUNWISH ENTERPRISES,LTD.",,06/23/2015, 841 , 74 
,B01522,"STM ENTERPRISES,INC",,06/23/2015, 87 , 16 
,B01559,MUNKACS CAR SVC LTD,,06/23/2015, 401 , 23 
,B01606,LA MEXICANA EXPRESS INC.,,06/23/2015," 1,625 ", 120 
,B01608,JERUSALEM CAR COM.INC.,,06/23/2015, 31 , 7 
,B01623,JAMAICA EXPRESS CAR SERVICE INC.,,06/23/2015, 57 , 10 
,B01625,GLOBE CAR SERVICE INC,,06/23/2015, 101 , 10 
,B01626,LA NUEVA QUISQUEYA C/S INC,,06/23/2015," 1,386 ", 121 
,B01635,HAR-SINAY CAR & LIMO SVC INC,,06/23/2015, 38 , 8 
,B01672,NEW DAYNIGHT CAR SVCE,,06/23/2015, 44 , 21 
,B01721,W.K. CAR & LIMO SERVICE INC,,06/23/2015, 385 , 62 
,B01726,SUPER CLASS RADIO DISP INC,,06/23/2015, 920 , 146 
,B01727,"CHAUFFEUR SERVICES, INC.",,06/23/2015, 5 , 2 
,B01730,LUCKY EXPRESS CORPORATION,,06/23/2015, 7 , 6 
,B01779,APEX CAR & LIMO SVCE INC,,06/23/2015, 56 , 22 
,B01818,"TA-TA TRANSPORTATION, INC.",,06/23/2015, 6 , 5 
,B01846,ROMANTIQUE LIMOUSINE INC.,,06/23/2015, 2 , 2 
,B01849,JOE PAL LIMOUSINE LTD,,06/23/2015, 5 , 3 
,B01875,ON LINE LIMOUSINE LLC,,06/23/2015, 260 , 57 
,B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,06/23/2015, 2 , 2 
,B01877,U.S.A. LIMO. INC.,,06/23/2015, 366 , 118 
,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,06/23/2015, 829 , 98 
,B01912,"CAR 24 TRANSPORTATION, INC",,06/23/2015, 15 , -   
,B01923,"AVID INTERNATIONAL, INC.",,06/23/2015, 47 , 13 
,B01928,DISCOVER LIMO INC,,06/23/2015, 3 , 2 
,B01957,"ANIMO, INC",,06/23/2015, 6 , 2 
,B01970,GRAFE STREET SERVICE CORP.,,06/23/2015, 7 , 4 
,B01979,DREAMLAND CAR & LIMO.SVC INC.,,06/23/2015, 1 , 1 
,B01980,"READY TO ROLL TRANSPORTATION, INC.",,06/23/2015, 32 , 19 
,B01984,NY 88 EXPRESS CORP.,,06/23/2015, 770 , 123 
,B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,,06/23/2015, 56 , 12 
,B01998,FIRST CORPORATE SEDANS INC.,,06/23/2015, 622 , 236 
,B02003,"AVALON CORPORATE CAR,INC.",,06/23/2015, 190 , 73 
,B02021,EASYRIDE CAR SERVICE INC.,,06/23/2015, 49 , 5 
,B02054,REGAL CARRIAGE LUX. CAR & LIMO. SVC INC.,,06/23/2015, 28 , 12 
,B02073,"STARGATE LIMOUSINE, INC.",,06/23/2015, 14 , 6 
,B02096,"CET GROUP, INC",,06/23/2015, 9 , 8 
,B02099,SUNNY'S LIMOUSINE SERVICE INC,,06/23/2015, 220 , 70 
,B02106,"PERFECT LIMO SERVICE, INC.",,06/23/2015, 9 , -   
,B02110,"OPTIMUM CAR & LIMO, INC.",,06/23/2015, 118 , 10 
,B02133,"TWR CAR & LIMO, INC.",,06/23/2015, 94 , 31 
,B02138,"GUADALUPANA CAR LIMO, INC",,06/23/2015, 179 , 22 
,B02147,"MITA LIMOUSINE, INC.",,06/23/2015, 35 , 17 
,B02152,"KYOEI LIMOUSINE, INC.",,06/23/2015, 14 , -   
,B02155,ABA LUXURY CAR INC.,,06/23/2015, 16 , 12 
,B02157,REAGAN CONVEYANCE  CORP.,,06/23/2015, 151 , 84 
,B02160,"12TH STREET LUXURY CARS, INC.",,06/23/2015, 6 , 6 
,B02167,MADISON LIMOUSINE INC,,06/23/2015, 2 , -   
,B02175,MURRAY'S LIMOUSINE SERVICE INC.,,06/23/2015, 4 , 4 
,B02180,PEGASUS TRANSPORT SERVICE INC.,,06/23/2015, 45 , 25 
,B02182,"FINEST CAR SERVICE, LLC",,06/23/2015, 12 , 3 
,B02191,US LIMO SYSTEM INC,,06/23/2015, 56 , 20 
,B02217,PCS LIMOUSINE INC.,,06/23/2015, 38 , 11 
,B02240,NEW APPLE TRANS. INC.,,06/23/2015, 13 , 8 
,B02241,"MARU & KITANO, INC.",,06/23/2015, 51 , -   
,B02248,HYBRID LIMO EXPRESS INC.,,06/23/2015, 8 , 1 
,B02252,ASIANA LIMOUSINE INC.,,06/23/2015, 2 , 1 
,B02265,"COUNTY CAR SERVICE, INC.",,06/23/2015, 25 , 3 
,B02285,"VALERA GLOBAL, INC.",,06/23/2015, 253 , 91 
,B02287,"ROAD NEW YORK ENTERPRISES, INC.",,06/23/2015, 4 , 3 
,B02293,XPRESS TRANSPORT & MULTI SERVICE INC.,,06/23/2015, 1 , 1 
,b02301,DOUBLE A CAR SERVICE INC.,,06/23/2015, 436 , 27 
,B02306,ACCUELIMO LUXURY LLC,,06/23/2015, 81 , 20 
,B02308,NORWOOD CAR & LIMO INC.,,06/23/2015, 21 , 14 
,B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",,06/23/2015, 28 , -   
,B02389,"EMBARQUE N.Y., INC.",,06/23/2015, 62 , 15 
,B02397,CHICO EXPRESS CORP. 2,,06/23/2015, 211 , 17 
,B02416,"NEW STORM CAR SERVICE, INC.",,06/23/2015, 50 , 5 
,B02440,MLL LIMOUSINE SERVICES INC.,,06/23/2015, 85 , -   
,B02447,"NEW HAMPTON CAR & LIMO, INC.",,06/23/2015, 2 , 2 
,B02462,TIFFANY'S CAR SERVICE INC.,,06/23/2015, 82 , 17 
,B02468,GROUNDLINK HOLDINGS LLC,,06/23/2015, 142 , 33 
,B02470,CRI LIMO INC.,,06/23/2015, 21 , 10 
,B02491,CALL THREES LLC,,06/23/2015, 27 , 4 
,B02517,LOS PAISANOS LUXURY C/S INC.,,06/23/2015, 10 , 5 
,B02532,COZY RIDE LIMOUSINE INC,,06/23/2015, 18 , -   
,B02541,HIBA CAR & LIMO SVC INC.,,06/23/2015, 11 , 10 
,B02555,LTM GLOBAL CAR SERVICE,,06/23/2015, 22 , -   
,B02564,LAGUARDIA LUXURY CAR & LIMO,,06/23/2015, 2 , 1 
,B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,06/23/2015, 79 , 40 
,B02590,LUXOR LIMO INC,,06/23/2015, 64 , -   
,B02611,SS LIMOUSINE SERVICE INC,,06/23/2015, 24 , 9 
,B02631,"CONFIDENTIAL HOLDINGS, LLC",,06/23/2015, 7 , 4 
,B02633,USHLS CORP,,06/23/2015, 4 , 3 
,B02637,ROOSEVELT CAR & LIMO INC.,,06/23/2015, 10 , 9 
,B02653,NEW COLLEGE CAR SVCE INC,,06/23/2015, 744 , 106 
,B02661,MIC-LOU CAR SERVICES_LLC,,06/23/2015, 81 , -   
,B02666,"D.L.C. LIMOUSINE SERVICE, INC.",,06/23/2015, 5 , 5 
,B02674,ELAL CAR LIMO SERVICE LLC,,06/23/2015, 50 , 5 
,B02675,FRIELECH CAR & LIMO SERVICE INC,,06/23/2015, 47 , 7 
